row_index,ResponseId,scenario_q,lab_like,premium_like,basic_like,cluster_kbest_noQ72,cluster_k3_noQ72
1,R_1ISSVTIOnPJXekC,45,5.0,3.0,7.0,3,2
2,R_7liY4XbxkhD6dE2,51,4.0,5.0,5.0,1,1
3,R_1YncfbKdOsKwWPu,47,5.0,4.0,5.0,1,1
4,R_7rSmf4wO8btejI6,43,2.0,4.0,7.0,3,2
5,R_7dR7hKV4T4XnYPc,65,1.0,4.0,6.0,3,2
6,R_58BVICaWSqYvdNp,59,2.0,6.0,5.0,0,0
7,R_7Kx4QI193xtBYFq,68,1.0,7.0,5.0,0,0
8,R_5K7Gd3dYqmmxjHQ,59,1.0,6.0,6.0,0,0
9,R_6E3Cur95KnC0mYN,42,2.0,1.0,7.0,3,2
10,R_5dW7QwXXNmSSLmN,64,2.0,7.0,2.0,0,0
11,R_5wRktamZTfPDh2Y,56,1.0,7.0,7.0,0,0
12,R_5AuWMuwwBk5ghrP,50,1.0,7.0,6.0,0,0
13,R_6erf01s5x2s1mdX,47,1.0,6.0,7.0,0,0
14,R_6Pt0n8I0WD2Qjq8,49,4.0,7.0,3.0,1,1
15,R_5kFGFutTkz0NwNc,64,4.0,6.0,6.0,1,0
16,R_1lEaqdOXbsZXqSN,67,7.0,6.0,1.0,1,1
17,R_3dWuYoHAgCUmZHg,60,6.0,4.0,7.0,3,1
18,R_1nlx6TATB16RkYR,50,6.0,5.0,3.0,1,1
19,R_3HkvhU6az09rhff,55,5.0,4.0,5.0,1,1
20,R_6XdsbZkvYUsMufM,59,1.0,6.0,4.0,0,0
21,R_7CwAPUaH3VPNbZv,46,1.0,3.0,6.0,3,2
22,R_7NDGtj6rECGMZFU,48,4.0,4.0,1.0,2,1
23,R_5n8CMOBWPOMVXgd,49,2.0,7.0,6.0,0,0
24,R_3mdUOmOI5QxFQYh,43,3.0,5.0,3.0,1,1
25,R_5pST6FxGLqPv6ML,68,7.0,4.0,3.0,1,1
26,R_1GBUGqZkuJYDfMF,42,1.0,4.0,4.0,3,2
27,R_6iJWBtvFyXvvIAa,67,4.0,4.0,6.0,3,2
28,R_1K0HYbDeJFB9m5i,49,5.0,5.0,2.0,1,1
29,R_12x2LqCgjm1MP74,65,4.0,4.0,6.0,3,2
30,R_1d0KOWd3aaLOBHS,71,3.0,7.0,4.0,0,0
31,R_1nl75W8A0erCHCM,43,1.0,5.0,4.0,0,0
32,R_1maLncNKg516tVf,43,3.0,7.0,3.0,0,0
33,R_18UPeBlDi0Uu6By,46,7.0,6.0,1.0,1,1
34,R_3el4R7TREH8MsN7,70,7.0,7.0,7.0,1,1
35,R_7q9u2vDeaWd6hpq,65,1.0,7.0,1.0,0,0
36,R_7XKiIWluKC8mfjH,49,3.0,7.0,4.0,0,0
37,R_1zwN53tw0B281n3,62,7.0,5.0,2.0,1,1
38,R_17d8kjroJjoVwfe,56,5.0,4.0,4.0,1,1
39,R_6MKclXG7GJSooTu,56,7.0,6.0,5.0,1,1
40,R_7kgGfEBIipZundL,56,5.0,5.0,4.0,1,1
41,R_1pyxno2lts21Tym,69,6.0,1.0,7.0,3,2
42,R_12mWQChT595hXlk,64,5.0,3.0,7.0,3,2
43,R_1ERMYM2Tz8TeGQm,50,5.0,7.0,6.0,1,1
44,R_1yci8ywgNUoHR9D,62,1.0,1.0,7.0,3,2
45,R_1MSejFFMozwHA9B,58,1.0,7.0,7.0,0,0
46,R_1lR1jGaS3sg6Qch,63,1.0,5.0,6.0,3,0
47,R_1REfWS4IcJjm1Md,59,1.0,5.0,5.0,0,0
48,R_31TWcoT5JU5NY4T,67,2.0,6.0,5.0,0,0
49,R_1s69y7AcOo4CgQT,66,5.0,6.0,3.0,1,1
50,R_39Y0FPcnz4r4wMx,45,4.0,6.0,7.0,3,0
51,R_3Nz7SD9U0pv2uO0,50,1.0,7.0,5.0,0,0
52,R_1MrR0YNBzkOj6mJ,45,4.0,4.0,5.0,3,2
