scenario_q,n,lab_like_mean,premium_like_mean,basic_like_mean,human_imp_mean,animal_imp_mean,energy_imp_mean,scenario_cluster3
42,9,2.6666666666666665,4.777777777777778,4.666666666666667,4.111111111111111,4.222222222222222,3.6666666666666665,0
43,15,1.9333333333333333,5.133333333333334,4.2,3.6666666666666665,3.7333333333333334,3.7333333333333334,1
44,11,2.3636363636363638,5.636363636363637,5.090909090909091,4.0,4.090909090909091,3.5454545454545454,0
45,6,2.8333333333333335,4.333333333333333,4.666666666666667,3.6666666666666665,4.0,3.8333333333333335,2
46,12,3.4166666666666665,5.416666666666667,4.5,3.6666666666666665,3.75,3.0,1
47,9,3.3333333333333335,5.444444444444445,3.7777777777777777,3.7777777777777777,4.111111111111111,3.888888888888889,0
48,9,2.3333333333333335,5.666666666666667,3.888888888888889,3.3333333333333335,3.4444444444444446,3.888888888888889,1
49,7,2.857142857142857,6.285714285714286,3.2857142857142856,3.2857142857142856,3.4285714285714284,3.142857142857143,1
50,8,2.875,6.5,4.75,4.5,3.5,3.375,1
51,7,2.857142857142857,6.142857142857143,4.142857142857143,3.7142857142857144,4.571428571428571,3.5714285714285716,0
52,5,4.2,5.6,2.2,4.4,4.0,4.2,0
53,8,3.25,5.625,4.375,3.625,4.25,4.125,0
54,10,2.4,6.2,3.7,3.3,3.5,3.1,1
55,8,3.5,4.25,5.125,3.625,3.5,3.5,2
56,16,3.75,4.4375,4.0625,3.75,4.25,3.8125,2
57,8,4.5,6.75,5.25,3.75,4.25,3.875,0
58,9,3.6666666666666665,6.333333333333333,4.222222222222222,4.111111111111111,4.111111111111111,4.333333333333333,0
59,9,2.888888888888889,5.777777777777778,4.888888888888889,2.6666666666666665,3.7777777777777777,2.5555555555555554,1
60,6,2.3333333333333335,4.5,5.0,2.6666666666666665,3.5,2.3333333333333335,1
61,9,3.6666666666666665,4.444444444444445,4.333333333333333,4.0,4.333333333333333,3.7777777777777777,2
62,7,4.857142857142857,4.714285714285714,4.0,2.857142857142857,3.857142857142857,3.7142857142857144,2
63,7,4.142857142857143,5.0,6.142857142857143,3.7142857142857144,3.857142857142857,3.4285714285714284,2
64,11,3.8181818181818183,5.545454545454546,4.090909090909091,4.363636363636363,4.2727272727272725,4.181818181818182,0
65,7,1.7142857142857142,5.571428571428571,3.7142857142857144,3.7142857142857144,3.7142857142857144,3.7142857142857144,1
66,9,3.5555555555555554,4.444444444444445,3.6666666666666665,3.6666666666666665,3.7777777777777777,3.6666666666666665,2
67,14,3.5,6.428571428571429,3.7857142857142856,3.5,3.5,3.4285714285714284,1
68,9,4.111111111111111,4.444444444444445,3.7777777777777777,2.888888888888889,4.333333333333333,3.6666666666666665,2
69,8,4.875,4.25,5.5,4.5,4.0,3.875,2
70,10,3.1,5.3,4.1,3.3,3.6,2.7,1
71,6,3.6666666666666665,4.833333333333333,4.166666666666667,3.8333333333333335,3.6666666666666665,3.3333333333333335,2
