Tuna,Source,sum_sq,df,F,PR(>F)
Premium,Intercept,50.73811739323805,1.0,17.299613329814385,4.5095157726932624e-05
Premium,C(Category),33.20528672328153,2.0,5.660819225576412,0.003982269369583958
Premium,C(PriceLvl_Premium),53.09858348027513,2.0,9.052217639947859,0.00016433513010707495
Premium,C(Age),19.350513202043608,7.0,0.9425328483017562,0.4652766277486634
Premium,C(Gender),12.026194084404409,4.0,1.0251095141993993,0.38222910558149964
Premium,C(Education),1.4441741992428916,4.0,0.12310101611656345,0.9464064454862802
Premium,C(Marital),7.26829535006643,5.0,0.49563801568953963,0.7389567455278765
Premium,C(HouseholdSize),9.919563084844874,5.0,0.6764326884205093,0.6089350147687884
Premium,C(Income),11.63768111428201,7.0,0.5668530138577077,0.7565031104534744
Premium,C(Employment),13.971097173385228,7.0,0.6805100141396095,0.6655423250065329
Premium,C(Urban_Rural),8.46573156596941,3.0,0.9621555428121642,0.3836007878323051
Premium,Residual,674.5680829948332,230.0,,
