Dependent Variable,Employment,Mean,Std. Deviation,N
Lab_Rating,1,3.4814814814814814,2.079841794694799,162
Lab_Rating,2,2.911111111111111,1.9285206556300918,45
Lab_Rating,3,3.08,2.039607805437114,25
Lab_Rating,4,2.6923076923076925,2.42846369077981,13
Lab_Rating,5,3.4375,2.3084987907007157,16
Lab_Rating,6,1.0,0.0,2
Lab_Rating,7,2.857142857142857,1.772810520855837,7
Premium_Rating,1,5.37037037037037,1.7190524939281542,162
Premium_Rating,2,5.355555555555555,1.7601078938462258,45
Premium_Rating,3,4.76,1.7387735140993303,25
Premium_Rating,4,5.461538461538462,1.5063966175050878,13
Premium_Rating,5,5.3125,1.6620770138594658,16
Premium_Rating,6,7.0,0.0,2
Premium_Rating,7,6.0,1.5275252316519468,7
Basic_Rating,1,4.135802469135802,1.7463579593628251,162
Basic_Rating,2,4.555555555555555,2.051114503646909,45
Basic_Rating,3,4.16,1.491084616423003,25
Basic_Rating,4,4.769230769230769,2.1273554065179203,13
Basic_Rating,5,4.25,2.265686062395524,16
Basic_Rating,6,7.0,0.0,2
Basic_Rating,7,5.428571428571429,1.8126539343499315,7
