Dependent Variable,Gender,Education,Mean,Std. Deviation,N
Lab_Rating,1,2,3.0,1.8942637868358374,35
Lab_Rating,1,3,3.445945945945946,1.9941138856191127,74
Lab_Rating,1,4,4.3,1.7501879598308414,20
Lab_Rating,1,5,5.25,0.5,4
Lab_Rating,2,2,2.66,2.2187512575449158,50
Lab_Rating,2,3,2.75,1.9889400073760841,52
Lab_Rating,2,4,3.5714285714285716,2.3145502494313788,21
Lab_Rating,2,5,4.4,2.073644135332772,5
Lab_Rating,3,2,4.666666666666667,0.5773502691896257,3
Lab_Rating,3,3,5.5,0.7071067811865476,2
Lab_Rating,3,4,7.0,,1
Lab_Rating,4,3,4.0,1.7320508075688772,3
Premium_Rating,1,2,4.742857142857143,2.062877161847973,35
Premium_Rating,1,3,5.324324324324325,1.7130291052082658,74
Premium_Rating,1,4,5.05,1.700619082322051,20
Premium_Rating,1,5,5.5,1.7320508075688772,4
Premium_Rating,2,2,5.46,1.8093859596615667,50
Premium_Rating,2,3,5.403846153846154,1.5499476953175584,52
Premium_Rating,2,4,5.9523809523809526,1.3592715135759477,21
Premium_Rating,2,5,5.6,0.8944271909999157,5
Premium_Rating,3,2,5.333333333333333,2.081665999466133,3
Premium_Rating,3,3,6.0,1.4142135623730951,2
Premium_Rating,3,4,6.0,,1
Premium_Rating,4,3,6.0,1.0,3
Basic_Rating,1,2,4.0285714285714285,1.77375829452464,35
Basic_Rating,1,3,4.216216216216216,1.8076721598624157,74
Basic_Rating,1,4,4.05,1.7614288458371994,20
Basic_Rating,1,5,4.75,1.2583057392117918,4
Basic_Rating,2,2,4.82,2.163613757073087,50
Basic_Rating,2,3,4.653846153846154,1.6316071156344096,52
Basic_Rating,2,4,3.9047619047619047,1.7001400502535637,21
Basic_Rating,2,5,3.6,1.6733200530681511,5
Basic_Rating,3,2,4.0,1.7320508075688772,3
Basic_Rating,3,3,2.5,2.1213203435596424,2
Basic_Rating,3,4,1.0,,1
Basic_Rating,4,3,2.3333333333333335,0.5773502691896258,3
