Dependent Variable,Gender,Employment,Mean,Std. Deviation,N
Lab_Rating,1,1,3.6530612244897958,1.9798054721495053,98
Lab_Rating,1,2,3.25,2.050498830661811,12
Lab_Rating,1,3,2.8333333333333335,1.898963034411309,12
Lab_Rating,1,4,1.0,0.0,2
Lab_Rating,1,5,3.75,1.5811388300841898,8
Lab_Rating,1,7,4.0,,1
Lab_Rating,2,1,3.1166666666666667,2.202399821047807,60
Lab_Rating,2,2,2.533333333333333,1.7952683659406263,30
Lab_Rating,2,3,3.3076923076923075,2.2130151145972543,13
Lab_Rating,2,4,3.0,2.5298221281347035,11
Lab_Rating,2,5,3.125,2.948970764763288,8
Lab_Rating,2,6,1.0,0.0,2
Lab_Rating,2,7,1.75,1.5,4
Lab_Rating,3,1,5.666666666666667,1.1547005383792517,3
Lab_Rating,3,2,5.5,0.7071067811865476,2
Lab_Rating,3,7,4.0,,1
Lab_Rating,4,1,2.0,,1
Lab_Rating,4,2,5.0,,1
Lab_Rating,4,7,5.0,,1
Premium_Rating,1,1,5.153061224489796,1.8520094454142617,98
Premium_Rating,1,2,5.166666666666667,1.9462473604038075,12
Premium_Rating,1,3,5.083333333333333,1.5642792899510296,12
Premium_Rating,1,4,3.5,2.1213203435596424,2
Premium_Rating,1,5,5.125,1.5526475085202969,8
Premium_Rating,1,7,7.0,,1
Premium_Rating,2,1,5.65,1.4709042531837,60
Premium_Rating,2,2,5.4,1.7733661737517428,30
Premium_Rating,2,3,4.461538461538462,1.8980421761815784,13
Premium_Rating,2,4,5.818181818181818,1.1677484162422844,11
Premium_Rating,2,5,5.5,1.851640199545103,8
Premium_Rating,2,6,7.0,0.0,2
Premium_Rating,2,7,6.5,0.9999999999999999,4
Premium_Rating,3,1,6.333333333333333,0.5773502691896258,3
Premium_Rating,3,2,6.0,1.4142135623730951,2
Premium_Rating,3,7,3.0,,1
Premium_Rating,4,1,7.0,,1
Premium_Rating,4,2,5.0,,1
Premium_Rating,4,7,6.0,,1
Basic_Rating,1,1,4.142857142857143,1.7761303936529351,98
Basic_Rating,1,2,4.083333333333333,1.9286515936521476,12
Basic_Rating,1,3,4.416666666666667,1.0836246694508316,12
Basic_Rating,1,4,2.0,1.4142135623730951,2
Basic_Rating,1,5,4.25,2.1213203435596424,8
Basic_Rating,1,7,7.0,,1
Basic_Rating,2,1,4.216666666666667,1.688361623512988,60
Basic_Rating,2,2,4.966666666666667,2.008316044185609,30
Basic_Rating,2,3,3.923076923076923,1.8009968749527983,13
Basic_Rating,2,4,5.2727272727272725,1.8488325554743505,11
Basic_Rating,2,5,4.25,2.5495097567963927,8
Basic_Rating,2,6,7.0,0.0,2
Basic_Rating,2,7,6.0,1.1547005383792515,4
Basic_Rating,3,1,2.6666666666666665,2.0816659994661326,3
Basic_Rating,3,2,2.5,2.1213203435596424,2
Basic_Rating,3,7,5.0,,1
Basic_Rating,4,1,3.0,,1
Basic_Rating,4,2,2.0,,1
Basic_Rating,4,7,2.0,,1
