Dependent Variable,Marital,Mean,Std. Deviation,N
Lab_Rating,1,3.064516129032258,2.0191841525760257,124
Lab_Rating,2,3.627450980392157,2.05817168037317,102
Lab_Rating,3,3.2333333333333334,2.1605129233480698,30
Lab_Rating,4,2.0,2.0,4
Lab_Rating,5,3.111111111111111,2.571208103423585,9
Premium_Rating,1,5.217741935483871,1.8237836301516777,124
Premium_Rating,2,5.382352941176471,1.5417883254635891,102
Premium_Rating,3,5.633333333333334,1.5196036990935664,30
Premium_Rating,4,5.0,2.8284271247461903,4
Premium_Rating,5,5.555555555555555,2.1278575558006176,9
Basic_Rating,1,4.387096774193548,1.8110306880779905,124
Basic_Rating,2,4.313725490196078,1.8183900623759959,102
Basic_Rating,3,3.933333333333333,2.0667037445691365,30
Basic_Rating,4,4.0,2.160246899469287,4
Basic_Rating,5,4.111111111111111,1.964971020425266,9
