ParticipantID,Category,WTP,PriceLvl,NutriLvl,TasteLvl,PriceRaw,Age,Gender,Education,Marital,HouseholdSize,Income,Employment,Urban_Rural,Product,PriceUSD
R_1ISSVTIOnPJXekC,Supportive but Inactive,5.0,High,Mid,High,3.0,2,1,3,1,1,3,1,1,Lab,3.0
R_7liY4XbxkhD6dE2,Supportive but Inactive,4.0,High,Mid,High,3.0,3,2,5,1,2,7,1,2,Lab,3.0
R_1YncfbKdOsKwWPu,Supportive but Inactive,5.0,High,Mid,Low,3.0,3,2,3,1,2,4,1,2,Lab,3.0
R_7rSmf4wO8btejI6,Supportive but Inactive,2.0,High,Mid,Mid,3.0,5,2,3,3,1,3,2,3,Lab,3.0
R_7dR7hKV4T4XnYPc,Unsupportive and Inactive,1.0,Mid,Mid,Low,2.0,4,1,3,2,2,5,1,2,Lab,2.0
R_58BVICaWSqYvdNp,Unsupportive and Inactive,2.0,High,Mid,Low,3.0,2,2,2,1,4,5,1,2,Lab,3.0
R_7Kx4QI193xtBYFq,Unsupportive and Inactive,1.0,Mid,High,High,2.0,3,2,2,2,2,4,1,3,Lab,2.0
R_5K7Gd3dYqmmxjHQ,Unsupportive and Inactive,1.0,High,Mid,Low,3.0,3,2,2,1,4,5,2,1,Lab,3.0
R_6E3Cur95KnC0mYN,Supportive and Active,2.0,High,High,Mid,3.0,2,2,2,1,1,2,3,1,Lab,3.0
R_5dW7QwXXNmSSLmN,Supportive but Inactive,2.0,Mid,High,Low,2.0,5,1,3,1,2,3,5,2,Lab,2.0
R_5wRktamZTfPDh2Y,Supportive and Active,1.0,High,High,High,3.0,3,2,2,5,4,3,6,1,Lab,3.0
R_5AuWMuwwBk5ghrP,Supportive but Inactive,1.0,High,High,High,3.0,4,2,2,1,2,4,1,2,Lab,3.0
R_6erf01s5x2s1mdX,Unsupportive and Inactive,1.0,High,Mid,Low,3.0,5,2,2,1,3,2,2,1,Lab,3.0
R_6Pt0n8I0WD2Qjq8,Supportive but Inactive,4.0,High,Mid,Mid,3.0,4,2,4,2,5,7,1,2,Lab,3.0
R_5kFGFutTkz0NwNc,Supportive but Inactive,4.0,Mid,High,Low,2.0,4,2,3,1,2,5,1,1,Lab,2.0
