key,mean,sd,n
ProdLab__PriceMid,3.9237288135593222,2.170034923382147,236.0
ProdLab__PriceHigh,3.456090651558074,2.092715589183942,353.0
ProdPremium__PriceMid,5.254385964912281,1.6989833887418235,228.0
ProdPremium__PriceHigh,5.174515235457064,1.7127021698718967,361.0
ProdLab__NutriMid,3.75,2.1092644821165494,300.0
ProdLab__NutriHigh,3.5328719723183393,2.15858888147939,289.0
ProdPremium__NutriMid,,,0.0
ProdPremium__NutriHigh,5.205432937181664,1.7064018189420709,589.0
ProdLab__TasteMid,3.313131313131313,2.0007433372252073,198.0
ProdLab__TasteHigh,3.985,2.1906092404217383,200.0
ProdPremium__TasteMid,,,0.0
ProdPremium__TasteHigh,5.205432937181664,1.7064018189420709,589.0
ProdLab__HL1,3.956112852664577,2.1363767451662454,319.0
ProdPremium__HL1,5.090909090909091,1.6993928219830934,319.0
PriceMid__NutriMid,4.141618497109826,1.9262193154298723,346.0
PriceMid__NutriHigh,4.803519061583578,1.9762083251743798,341.0
PriceHigh__NutriMid,3.837748344370861,1.9640030218952975,302.0
PriceHigh__NutriHigh,4.560521415270019,2.0517025392849813,537.0
PriceMid__TasteMid,4.153333333333333,1.8765822012591127,300.0
PriceMid__TasteHigh,5.042904290429043,1.8507580729127537,303.0
PriceHigh__TasteMid,3.565040650406504,1.897860610345234,246.0
PriceHigh__TasteHigh,4.804526748971194,1.950115006469689,486.0
PriceMid__HL1,4.474530831099195,1.946190131844477,373.0
PriceHigh__HL1,4.449115044247788,1.9876724547014615,452.0
NutriMid__TasteMid,4.134863701578192,1.8812912889468534,697.0
NutriMid__TasteHigh,4.070707070707071,2.1056412337227766,99.0
NutriHigh__TasteMid,3.1444444444444444,1.9520148686525671,90.0
NutriHigh__TasteHigh,5.0144927536231885,1.8577320757079914,690.0
NutriMid__HL1,4.187755102040816,1.93700722639774,490.0
NutriHigh__HL1,4.67237687366167,1.9361446036727157,467.0
TasteMid__HL1,4.109263657957245,1.8979775399681975,421.0
TasteHigh__HL1,4.860788863109049,1.8637592242602627,431.0
