term,sum_sq,df,F,p
Intercept,451.90773765278425,1.0,129.0028946560236,7.106302170933786e-29
C(Product),254.41105904571742,2.0,36.3124597289133,3.5894437104215716e-16
C(PriceLvl),2.7006916747116843,2.0,0.3854736427183245,0.6801874373838727
C(NutriLvl),494.7771367344144,2.0,70.62025888279831,3.385395679158094e-30
C(TasteLvl),40.64405335155779,2.0,5.801184728699354,0.003083729515754172
C(HealthLabel),1.1857851391299306,1.0,0.33849766809124315,0.5607742820174767
C(Gender),0.9916539646327289,3.0,0.09436013982204637,0.9631676247119635
C(Marital),10.67265935111844,4.0,0.7616620801422312,0.5502039902186355
C(Employment),6.315552514089729,6.0,0.30047599240108697,0.9368124026074777
C(Urban_Rural),0.2881095099243482,2.0,0.04112228853528272,0.9597127089595525
SustainScore_c,113.42175355195162,1.0,32.37770302664288,1.4902340790263498e-08
PriceUSD_c,3.772928988823014,1.0,1.0770312617744005,0.29950918634649093
LabPriceGap_c,0.33605676447179306,1.0,0.09593173954217149,0.756805127355139
Age_num_c,1.6784641237609732,1.0,0.47913924126658025,0.48890633339742334
Education_num_c,11.248017342024696,1.0,3.2108916828886227,0.07332615022663104
HouseholdSize_num_c,1.1992955664403575,1.0,0.34235439389137534,0.5585504712207663
Income_num_c,4.9958379395215795,1.0,1.4261264008846026,0.23256308623312139
Residual,5997.2766419272075,1712.0,,
