Scenario,Price_Lab,Price_Premium,Price_Basic,Nutrition_Lab,Nutrition_Premium,Nutrition_Basic,Taste_Lab,Taste_Premium,Taste_Basic,Price_Lab_raw,Price_Premium_raw,Price_Basic_raw,Price_Lab_Stars,Price_Premium_Stars,Price_Basic_Stars,Nutrition_Lab_Stars,Nutrition_Premium_Stars,Nutrition_Basic_Stars,Taste_Lab_Stars,Taste_Premium_Stars,Taste_Basic_Stars
1.0,High,Mid,Low,High,High,Mid,Mid,High,Mid,3.0,2.0,1.0,★★★,★★☆,★☆☆,★★★,★★★,★★☆,★★☆,★★★,★★☆
2.0,High,Mid,Low,Mid,High,Mid,Mid,High,Mid,3.0,2.0,1.0,★★★,★★☆,★☆☆,★★☆,★★★,★★☆,★★☆,★★★,★★☆
3.0,High,Mid,Low,High,High,Mid,High,High,Mid,3.0,2.0,1.0,★★★,★★☆,★☆☆,★★★,★★★,★★☆,★★★,★★★,★★☆
4.0,High,Mid,Low,Mid,High,Mid,High,High,Mid,3.0,2.0,1.0,★★★,★★☆,★☆☆,★★☆,★★★,★★☆,★★★,★★★,★★☆
5.0,High,Mid,Low,High,High,Mid,Low,High,Mid,3.0,2.0,1.0,★★★,★★☆,★☆☆,★★★,★★★,★★☆,★☆☆,★★★,★★☆
6.0,High,Mid,Low,Mid,High,Mid,Low,High,Mid,3.0,2.0,1.0,★★★,★★☆,★☆☆,★★☆,★★★,★★☆,★☆☆,★★★,★★☆
7.0,High,Mid,Mid,High,High,Mid,Mid,High,Mid,3.0,2.0,2.0,★★★,★★☆,★★☆,★★★,★★★,★★☆,★★☆,★★★,★★☆
8.0,High,Mid,Mid,Mid,High,Mid,Mid,High,Mid,3.0,2.0,2.0,★★★,★★☆,★★☆,★★☆,★★★,★★☆,★★☆,★★★,★★☆
9.0,High,Mid,Mid,High,High,Mid,High,High,Mid,3.0,2.0,2.0,★★★,★★☆,★★☆,★★★,★★★,★★☆,★★★,★★★,★★☆
10.0,High,Mid,Mid,Mid,High,Mid,High,High,Mid,3.0,2.0,2.0,★★★,★★☆,★★☆,★★☆,★★★,★★☆,★★★,★★★,★★☆
11.0,High,Mid,Mid,High,High,Mid,Low,High,Mid,3.0,2.0,2.0,★★★,★★☆,★★☆,★★★,★★★,★★☆,★☆☆,★★★,★★☆
12.0,High,Mid,Mid,Mid,High,Mid,Low,High,Mid,3.0,2.0,2.0,★★★,★★☆,★★☆,★★☆,★★★,★★☆,★☆☆,★★★,★★☆
13.0,High,High,Mid,High,High,Mid,Mid,High,Mid,3.0,3.0,2.0,★★★,★★★,★★☆,★★★,★★★,★★☆,★★☆,★★★,★★☆
14.0,High,High,Mid,Mid,High,Mid,Mid,High,Mid,3.0,3.0,2.0,★★★,★★★,★★☆,★★☆,★★★,★★☆,★★☆,★★★,★★☆
15.0,High,High,Mid,High,High,Mid,High,High,Mid,3.0,3.0,2.0,★★★,★★★,★★☆,★★★,★★★,★★☆,★★★,★★★,★★☆
16.0,High,High,Mid,Mid,High,Mid,High,High,Mid,3.0,3.0,2.0,★★★,★★★,★★☆,★★☆,★★★,★★☆,★★★,★★★,★★☆
17.0,High,High,Mid,High,High,Mid,Low,High,Mid,3.0,3.0,2.0,★★★,★★★,★★☆,★★★,★★★,★★☆,★☆☆,★★★,★★☆
18.0,High,High,Mid,Mid,High,Mid,Low,High,Mid,3.0,3.0,2.0,★★★,★★★,★★☆,★★☆,★★★,★★☆,★☆☆,★★★,★★☆
19.0,Mid,High,Low,High,High,Mid,Mid,High,Mid,2.0,3.0,1.0,★★☆,★★★,★☆☆,★★★,★★★,★★☆,★★☆,★★★,★★☆
20.0,Mid,High,Low,Mid,High,Mid,Mid,High,Mid,2.0,3.0,1.0,★★☆,★★★,★☆☆,★★☆,★★★,★★☆,★★☆,★★★,★★☆
21.0,Mid,High,Low,High,High,Mid,High,High,Mid,2.0,3.0,1.0,★★☆,★★★,★☆☆,★★★,★★★,★★☆,★★★,★★★,★★☆
22.0,Mid,High,Low,Mid,High,Mid,High,High,Mid,2.0,3.0,1.0,★★☆,★★★,★☆☆,★★☆,★★★,★★☆,★★★,★★★,★★☆
23.0,Mid,High,Low,High,High,Mid,Low,High,Mid,2.0,3.0,1.0,★★☆,★★★,★☆☆,★★★,★★★,★★☆,★☆☆,★★★,★★☆
24.0,Mid,High,Low,Mid,High,Mid,Low,High,Mid,2.0,3.0,1.0,★★☆,★★★,★☆☆,★★☆,★★★,★★☆,★☆☆,★★★,★★☆
25.0,Mid,High,High,High,High,Mid,Mid,High,Mid,2.0,3.0,3.0,★★☆,★★★,★★★,★★★,★★★,★★☆,★★☆,★★★,★★☆
26.0,Mid,High,High,Mid,High,Mid,Mid,High,Mid,2.0,3.0,3.0,★★☆,★★★,★★★,★★☆,★★★,★★☆,★★☆,★★★,★★☆
27.0,Mid,High,High,High,High,Mid,High,High,Mid,2.0,3.0,3.0,★★☆,★★★,★★★,★★★,★★★,★★☆,★★★,★★★,★★☆
28.0,Mid,High,High,Mid,High,Mid,High,High,Mid,2.0,3.0,3.0,★★☆,★★★,★★★,★★☆,★★★,★★☆,★★★,★★★,★★☆
29.0,Mid,High,High,High,High,Mid,Low,High,Mid,2.0,3.0,3.0,★★☆,★★★,★★★,★★★,★★★,★★☆,★☆☆,★★★,★★☆
30.0,Mid,High,High,Mid,High,Mid,Low,High,Mid,2.0,3.0,3.0,★★☆,★★★,★★★,★★☆,★★★,★★☆,★☆☆,★★★,★★☆
