term,coef,std_err,t,p,ci_low,ci_high
Intercept,2.183223695070632,0.45669516956859857,4.7804834396057645,1.7487416408828372e-06,,
C(Category)[T.Supportive but Inactive],0.9609728621939952,0.3661728814011451,2.6243692829378107,0.008680960736209059,,
C(Category)[T.Truly Green],1.0698690289777781,0.37448973703357874,2.856871425776477,0.004278391069665645,,
C(PriceLvl)[T.Mid],0.8665066822864894,0.2610311179772882,3.3195531973390335,0.0009016162452665193,,
C(PriceLvl)[T.High],1.3167170127841439,0.27219564436360005,4.837391927643294,1.3155387040978735e-06,,
C(NutriLvl)[T.Mid],1.132115579523659,0.26160762947421823,4.327532732126341,1.5078894205735229e-05,,
C(NutriLvl)[T.High],1.0511081155469737,0.26457151686988606,3.9728695211884784,7.101195210454359e-05,,
C(TasteLvl)[T.Mid],-0.20616398579216633,0.2945600397793476,-0.6999048002118754,0.48398675944366554,,
C(TasteLvl)[T.High],-0.4163164248538934,0.3097328691008693,-1.3441144495333286,0.17891138024997288,,
C(Age)[T.2],0.10497200830916853,0.5967802305067478,0.1758972615765656,0.8603746567553471,,
C(Age)[T.3],0.011131329195878337,0.6125613651783856,0.018171778092202655,0.9855018167383058,,
C(Age)[T.4],0.06187029064039962,0.6667346534203038,0.09279597261520636,0.9260656505939376,,
C(Age)[T.5],0.7941735704441958,0.6206780355466927,1.2795258168668533,0.20071195429399835,,
C(Age)[T.6],0.5430998078336802,0.9521809995190673,0.5703745486498806,0.5684236881068905,,
C(Age)[T.7],0.9077682273143003,0.7734098634386438,1.1737220718627612,0.24050636649232282,,
C(Age)[T.What is your age?],3.850950744149974e-16,7.907591134294066e-16,0.4869941653215938,0.6262624657711443,,
C(Gender)[T.2],0.2957342522287591,0.2577564363588034,1.1473399322494109,0.25124115631995847,,
C(Gender)[T.3],0.4537108763444846,0.9614764317741105,0.47188975345687884,0.6370054821887319,,
C(Gender)[T.4],-0.9189815578211373,1.4058602154677802,-0.6536791835419847,0.5133185172416106,,
C(Gender)[T.What is your gender?],-4.0044868688081225e-16,4.1592214818639583e-16,-0.9627972172844012,0.3356492974874361,,
C(Education)[T.3],0.022112570169739942,0.2866238976684499,0.07714838277483231,0.9385055037730763,,
C(Education)[T.4],0.19521869218723453,0.37949010231658864,0.5144236727006225,0.6069558119751453,,
C(Education)[T.5],0.08481876369968688,0.6468497623085137,0.13112590997479992,0.8956757049249662,,
C(Education)[T.What is the highest level of education you have completed?],5.539529896939111e-16,5.231424751081464e-16,1.0588950736209968,0.2896475681066992,,
C(Marital)[T.2],-0.39041062847921326,0.32197005821230423,-1.2125681209206725,0.2252949833209552,,
C(Marital)[T.3],-0.021381578881203622,0.4195991764440103,-0.05095715168558416,0.9593596641629571,,
C(Marital)[T.4],-0.14364465714568242,1.9695292932165553,-0.07293349616094706,0.9418590388304806,,
C(Marital)[T.5],-0.23671385078253238,0.9098686760948818,-0.26016265533889826,0.7947383093317705,,
C(Marital)[T.What is your current marital status?],-9.133894679112354e-17,3.715236553151091e-16,-0.2458496127619494,0.8057986499816349,,
C(HouseholdSize)[T.2],0.13481383547434136,0.38450425911852437,0.3506172747823443,0.7258754949096305,,
C(HouseholdSize)[T.3],0.3816163882648971,0.423120813894676,0.9019088064996248,0.36710531284478576,,
C(HouseholdSize)[T.4],0.5412424783944161,0.45027245063525617,1.2020332970200975,0.22935062773693649,,
C(HouseholdSize)[T.5],0.4557750014700278,0.5258616089784871,0.8667204330724845,0.3860952070585537,,
"C(HouseholdSize)[T.Including yourself, how many people currently live in your household?]",-3.900507934403131e-16,2.475158266542206e-16,-1.5758620315831913,0.11505760282662993,,
C(Income)[T.2],-0.7889027613074273,0.7476901710813731,-1.0551198769490964,0.29137050235465867,,
C(Income)[T.3],-0.48864890040965403,0.7236047155102301,-0.6752981150283088,0.4994863812780844,,
C(Income)[T.4],-0.3715774467039967,0.7300952894340572,-0.5089437667678006,0.6107916408452396,,
C(Income)[T.5],0.0028380230395983475,0.6948502444320329,0.004084366469379504,0.9967411561141228,,
C(Income)[T.6],-0.2836238184081443,0.7609726396210327,-0.37271224172972905,0.7093626243468544,,
C(Income)[T.7],-0.19616656873063842,0.8667023351437255,-0.22633672574345615,0.82093953640589,,
C(Income)[T.What is your total household income per year?],3.822588823920722e-17,1.105979700423035e-16,0.3456292030006147,0.7296213962268274,,
C(Employment)[T.2],-0.15300555666110574,0.3627409754944976,-0.42180389588610645,0.6731681618231358,,
C(Employment)[T.3],-0.3606732916638281,0.4973394227391453,-0.7252055139272588,0.4683259606600829,,
C(Employment)[T.4],6.987204958308624e-05,0.47458897425221697,0.0001472264493568981,0.9998825302895407,,
C(Employment)[T.5],-0.3360152265033825,0.7699295704290431,-0.43642332936522765,0.6625296156209612,,
C(Employment)[T.6],1.8643823092120362,0.7601944741544694,2.452507052600857,0.014186459843678416,,
C(Employment)[T.7],0.5041430051776612,0.8615386128525597,0.5851658853785329,0.5584361810682319,,
C(Employment)[T.What is your current job or work status?],0.0,0.0,,,,
C(Urban_Rural)[T.2],0.25191715828255845,0.2834801460092913,0.8886589125515043,0.37418641912293127,,
C(Urban_Rural)[T.3],0.5533382735073423,0.42464811798466945,1.3030512795710043,0.19255725522381995,,
C(Urban_Rural)[T.Do you live in an urban or rural area?],0.0,0.0,,,,
